Incident Number,Date Occurred,UCR,UCR Description,Location,Gang Related,Latitude,Longitude,Map Point
160105797,08/24/2016 12:00:00 AM,2600,All Other Offenses,800BLK 21ST ST,false,34.0368750008769,-118.487750001016,"(34.0368750008769, -118.487750001016)"
160138685,11/05/2016 12:00:00 AM,0640,Larceny - From Vehicle,300BLK OLYMPIC DR ,true,34.0116527794303,-118.492333335271,"(34.0116527794303, -118.492333335271)"
160134257,10/25/2016 12:00:00 AM,0521,Burglay-Unlaw Entry-Resd,1700BLK OCEAN AVE,true,34.0097361111709,-118.49293055563,"(34.0097361111709, -118.49293055563)"
160700565,08/30/2016 12:00:00 AM,1400,Vandalism,2500BLK 20TH STREET,false,,,
160010255,01/19/2016 12:00:00 AM,1100,Fraud,100BLK E CARSON ST,false,,,
160001714,01/05/2016 12:00:00 AM,2100,DUI,2100BLK PEARL ST,true,34.0175694445682,-118.465749999815,"(34.0175694445682, -118.465749999815)"
160008564,01/21/2016 12:00:00 AM,1100,Fraud,13300BLK BERG ST,true,,,
160005516,01/14/2016 12:00:00 AM,2610,Possess Drug Paraphernalia,1000BLK OCEAN AVE ,true,34.0188472230919,-118.503555556566,"(34.0188472230919, -118.503555556566)"
160005535,01/14/2016 12:00:00 AM,1400,Vandalism,1500BLK 2ND ST ,false,34.0128611119292,-118.494694445425,"(34.0128611119292, -118.494694445425)"
160005561,01/15/2016 12:00:00 AM,0430,Agg Assault - Othr Wpn,2500BLK PICO BLVD ,true,34.0229027778943,-118.462986110876,"(34.0229027778943, -118.462986110876)"
160005594,01/06/2016 12:00:00 AM,0690,Larceny - Other,1800BLK STEWART ST ,true,34.0277361115841,-118.464500000392,"(34.0277361115841, -118.464500000392)"
160005596,01/07/2016 12:00:00 AM,0521,Burglay-Unlaw Entry-Resd,1400BLK 26TH ST,true,34.0326250008793,-118.473500001024,"(34.0326250008793, -118.473500001024)"
160027509,03/05/2016 12:00:00 AM,2100,DUI,1700BLK SANTA MONICA BLVD ,true,34.026750000258,-118.482374999687,"(34.026750000258, -118.482374999687)"
160152195,12/06/2016 12:00:00 AM,0450,Simple Assault,100BLK BROADWAY,false,34.0131388891372,-118.49593055524,"(34.0131388891372, -118.49593055524)"
160044830,03/02/2016 12:00:00 AM,1100,Fraud,700BLK COPELAND CT,true,34.0058194445608,-118.476361110902,"(34.0058194445608, -118.476361110902)"
