PDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2016-8-22,75,68,64,62,61,59,87,78,66,29.95,29.91,29.88,10,10,10,10,3,,0.00,1,,214
2016-8-23,75,70,64,63,61,57,87,75,59,30.05,30.00,29.95,10,10,10,10,3,,0.00,0,,221
2016-8-24,75,68,64,61,59,57,84,72,57,30.04,29.99,29.93,10,10,10,12,3,,0.00,0,,235
2016-8-25,75,68,62,61,60,55,84,76,64,29.97,29.93,29.89,10,10,8,12,3,,0.00,3,,227
2016-8-26,73,68,64,60,58,57,81,71,55,29.99,29.95,29.91,10,10,10,13,4,,0.00,4,,216
2016-8-27,73,68,64,60,59,57,84,73,57,30.02,29.97,29.93,10,10,10,13,4,20,0.00,4,,212
2016-8-28,73,68,63,61,60,58,87,74,62,30.03,29.98,29.92,10,10,10,14,4,18,0.00,0,,204
2016-8-29,79,70,64,63,61,58,81,71,56,29.98,29.92,29.84,10,10,9,12,2,,0.00,0,,227
2016-8-30,79,72,64,66,63,60,90,77,58,29.89,29.85,29.78,10,9,4,10,3,,0.00,2,,210
2016-8-31,78,72,68,66,64,60,90,78,60,29.90,29.85,29.82,10,8,3,13,3,20,0.00,3,,218
2016-9-1,75,70,64,64,62,59,87,77,64,29.94,29.89,29.86,10,10,9,13,3,,0.00,1,,228
2016-9-2,75,68,64,62,60,59,84,76,62,29.94,29.89,29.85,10,9,6,12,3,,0.00,5,,233
2016-9-3,73,68,64,60,58,55,84,69,57,29.92,29.87,29.82,10,10,10,13,5,18,0.00,4,,241
2016-9-4,73,68,64,59,57,55,81,69,59,29.89,29.84,29.79,10,10,10,13,3,18,0.00,5,,208
2016-9-5,73,68,63,57,56,55,75,68,59,29.83,29.80,29.77,10,10,10,12,3,18,0.00,3,,242
2016-9-6,73,68,62,61,59,55,84,76,59,29.86,29.83,29.80,10,10,9,13,3,21,0.00,4,,241
2016-9-7,73,68,63,62,60,58,87,77,68,30.08,29.97,29.85,10,9,6,12,3,,0.00,5,,225
2016-9-8,73,68,64,61,59,57,84,73,57,30.10,30.05,29.98,10,10,9,15,4,20,0.00,2,,230
2016-9-9,72,68,64,62,60,59,88,77,66,30.04,30.00,29.95,10,10,9,13,5,,0.00,3,,221
2016-9-10,72,67,63,62,61,60,93,83,70,30.06,30.02,29.97,10,8,2,12,3,,0.00,4,,210
2016-9-11,71,67,64,61,60,58,87,80,68,30.09,30.03,29.97,10,10,7,12,5,20,0.00,5,,216
2016-9-12,71,66,64,59,57,56,80,73,64,29.98,29.94,29.90,10,10,8,12,4,17,0.00,7,,228
2016-9-13,69,66,62,59,56,51,81,71,61,30.02,29.95,29.90,10,10,10,12,5,18,0.00,6,Rain,228
2016-9-14,71,64,57,56,53,50,81,67,54,30.09,30.03,29.98,10,10,10,14,4,20,0.00,1,,247
2016-9-15,73,66,59,60,56,51,84,70,57,30.02,29.98,29.93,10,10,10,12,5,,0.00,0,,250
