"","tract","meanP","meanN","meanV","meanA","meanD","population16","employment","employment_percent","median_household","means_household","cash_public","food_stamp","med_age","age_me","num_of_users","num_of_tweets","bachelor","bachelor_percent","gyrByCensus","Automobile","Drove.Alone","Public.Transit","Walking","Bicycle","Other","Worked.Home","No.vehicle","One.vehicle","Two.vehicles","Three.vehicles","HoursPerWeek","Quintile.3Mbps","Total.Drivers","Mean.Travel.Time.min","not.alone","medlog","pubtrans","HO.vacancy.rate","Rental.vacancy.rate","median.rooms","Owner.occupied","Renter.occupied","Average.household.OO","Average.household.RO","OPR.....1.00","OPR..1.x..1.5","OPR.....1.51","Mortgage.units","Per.mortgage.OO","HH.Size","One.vehicle.plus"
"1",1011.1,1.5799356223176,-1.42435622317597,5.78497875841402,4.21938323013173,5.62131811127308,4027,2601,64.6,55214,75104,48,73,40.3,3.8,13,364,524,14.7,6504.89433876541,94.2,86.6,1,0.5,0,1.4,3,0,18.1,36.6,45.3,36.6,4,2140,31.5,13.4,10.9189718232967,0,0,1.4,4.4,51.1,48.9,3.18,2.64,91.5,6.5,2,745,86.7,2.91594,100
"2",1011.22,1.74961948249619,-1.42237442922374,5.88145677738954,4.23142745469021,5.65846886501521,2975,2244,75.4,102719,117782,25,31,44.5,5.1,9,73,494,18.9,12578.2161855534,90.7,75.4,2.9,0,0,2.1,4.4,0,12.5,38.3,49.2,39.4,4,1910,35.1,24.6,11.5397523836739,1.06471073699243,2.7,12.4,5.8,85.1,14.9,2.93,2.38,97.3,2.7,0,833,79.7,2.84805,100
"3",1012.1,1.49705535924617,-1.45524146054181,5.49927028083116,4.10487076125832,5.47244988960461,5333,3634,68.1,42664,52035,97,189,31.1,1.4,17,243,464,10.3,15660.1032699578,85.2,77.5,4.3,5.6,0,2.9,2,1.6,22.7,52,23.6,35,4,3230,29,22.5,10.6611107522804,1.45861502269952,0,5.4,3.6,14.6,85.4,2.99,2.95,80.2,14.2,5.6,323,100,2.95584,98.3
"4",1012.2,1.40734949179046,-1.45543393275997,5.65456931116988,4.20244913623443,5.53739654728897,2504,1736,69.3,42367,49951,42,55,41.1,2.8,14,269,239,10.7,5377.22673997854,87.7,75.4,0,6.2,0,4.3,1.8,9,24.4,42.1,24.6,36.2,3,1402,27.8,24.6,10.6541250362991,-4.60517018598809,6.8,4.4,4.2,36.3,63.7,2.87,2.56,86.8,10.8,2.4,376,88.7,2.67253,91.1
"5",1013,1.58981693363844,-1.38615560640732,5.71731652860109,4.23889595469363,5.56735232308311,3417,2221,65,71550,89646,0,8,45,3,32,1089,889,29.4,61831.3764740705,93,86.5,0.6,0,0,0,6.4,1.1,13.5,40.3,45.1,38.8,4,1833,28.2,13.5,11.1781517849846,-0.510825623765991,0,1.8,5.4,81.8,18.2,2.86,2.24,100,0,0,977,78.1,2.74716,98.9
"6",1014,1.56104651162791,-1.41230620155039,5.78236518297986,4.21916668743697,5.6084949956323,3373,1996,59.2,62065,77848,61,92,47.1,3.4,43,184,686,22.9,41475.2014272746,82.9,78.8,1.3,7.4,0,0.7,7.7,0.5,25.3,31.3,42.9,37.9,4,1600,29.2,21.2,11.03593750195,0.262364264467491,0,0,5.1,67,33,2.73,2.34,93.7,5.5,0.8,814,79.2,2.6013,99.5
"7",1021.03,1.52100840336134,-1.51540616246499,5.6551330371826,4.27989491048359,5.55004438557775,1476,985,66.7,67553,83637,22,22,43,6.4,9,20,254,19.8,2316344.23187333,98.7,78.9,0.5,0,0.7,0,0,0.7,15.2,46,38,39.4,5,941,27.8,21.1,11.1206677539492,-0.693147180559945,0,0,5.6,76.5,23.5,2.86,1.66,94.6,4,1.5,392,75.4,2.578,99.2
"8",1021.04,1.58412098298677,-1.39508506616257,5.82078639693644,4.26127995486416,5.61125899062191,3044,2067,67.9,86848,105012,0,0,43.5,5.9,34,161,665,27.1,52553.0678422857,82.1,75.6,3.9,4.1,0.8,4.5,4.7,0,20.2,42.4,37.4,37.5,3,1627,32.7,24.4,11.3719147431945,1.3609765531356,0,0,5.2,76,24,2.24,2.36,98.5,1.5,0,750,75.3,2.2688,100
"9",1021.05,1.44852941176471,-1.33088235294118,5.7574768282312,4.15208000283433,5.54850713931411,1473,901,61.2,44087,62317,33,36,33.8,4.4,31,73,130,9.8,291112.8020018,91.4,76.9,4.2,3.7,0.7,0,0,0,16.6,49,34.5,39.2,4,731,21.4,23.1,10.6939202333969,1.43508452528932,0,0,4.9,59.8,40.2,3.33,3.11,91.1,4.7,4.2,237,69.5,3.24156,100
"10",1021.07,1.60689045936396,-1.44787985865724,5.74795586448419,4.26279533839221,5.59476611020901,3057,1741,57,48862,65580,45,118,47.4,5.3,38,736,551,20.9,83818.3048252187,90.9,85.4,3.8,2.9,0,0.9,1.5,0,11,43.1,45.8,37.8,4,1401,33,14.6,10.7967552772527,1.33500106673234,0,2.8,5.6,65.8,34.2,2.65,2.88,97.5,1.4,1.2,648,81,2.72866,99.9
"11",1031.02,1.71212121212121,-1.44949494949495,5.82202396589284,4.1985567434843,5.61931818596574,4156,2776,66.8,69129,78664,81,68,37.5,2.9,22,94,731,20.7,33078.0578121653,96.3,86.9,2.6,0,0,0.3,0.8,2.1,15.3,36.8,45.7,37.5,4,2365,35.2,13.1,11.1437296033349,0.955511445027436,2.1,0,5.1,73.4,26.6,3.21,2.68,93,5.4,1.6,1001,82.1,3.06902,97.8
"12",1032,1.82600222717149,-1.40061247216036,5.8561580066173,4.20602534102413,5.67337394296806,6026,3396,56.4,76435,86515,82,70,47.9,2.5,52,2290,810,16.2,820747.753620037,86.2,74,1,3.4,1.5,0.8,7.2,0,19.3,31.4,49.3,37.6,4,2344,29.6,26,11.2441959854351,0,0,0,5.5,66.1,33.9,2.94,2.07,97.1,1.8,1.1,948,66.2,2.64507,100
"13",1033,1.61145703611457,-1.52552926525529,5.76897171775812,4.27581805034946,5.57989279380047,2631,1899,72.2,98065,117831,28,4,46.4,3.5,23,198,597,25.6,52253.8052170694,91.3,82.9,0.4,0.1,0.5,1.7,5.9,0,8,29.5,62.5,38.1,5,1631,25.5,17.1,11.4933858030956,-0.916290731874155,2.8,10.1,6,85.5,14.5,2.53,2.5,98.3,0.7,1,823,75.2,2.52565,100
"14",1034,1.61032863849765,-1.43863179074447,5.78323365840041,4.24633332685913,5.59516212876302,5800,3978,68.6,61698,72348,82,236,40.2,4.1,36,1930,1083,21.9,923239.527272614,96,87.6,0.9,0.9,0,0.6,1.6,3.2,17.5,27.2,52.1,36.7,4,3569,28.7,12.4,11.0300067944572,-0.105360515657826,3.6,4,5,61.9,38.1,2.88,2.45,97,3,0,1253,83.1,2.71617,96.8
"15",1041.03,1.68415051311288,-1.38198403648803,5.90284532446715,4.22688402353817,5.6447495874881,2636,1724,65.4,65270,71654,9,39,33.6,2.8,11,729,222,10.7,105900.953582421,96.3,77.3,2.2,0,0,0.6,0.8,1,5.7,37.9,55.3,37.1,4,1405,30.4,22.7,11.0862877916293,0.78845736036427,9.3,0,6.1,77.3,22.7,4.47,4.63,87.6,9.8,2.6,509,85.7,4.50632,98.9
"16",1041.05,1.518147086915,-1.50286532951289,5.61975658775504,4.23300809747371,5.53575408589073,3798,2501,65.9,41714,53546,181,191,27.8,2.4,11,120,306,10.3,66186.169310497,88.4,70.2,10.9,0,0,0.8,0,2.6,33.6,39.8,24,36,3,2064,31,29.8,10.6385920828566,2.3887627892351,2.7,0,5.1,50.3,49.7,4.16,3.71,88.4,9.5,2.1,660,91.5,3.93635,97.4
